00_method_chain,01_probe_key,02_probe_name,03_probe_role,04_operator_key,05_operator_name,06_dynamic_path_enabled,07_response_feedback_enabled,08_target_floor_no,09_target_floor,10_evolved_av_next_vs_measured_av_corr,11_evolved_abs_av_next_vs_measured_abs_av_corr,12_one_step_av_evolution_residual_rmse,13_target_hit_power_alignment_corr,14_signed_hit_power_vs_signed_av_corr,15_target_hit_power_peak_time_seconds,16_measured_abs_a_times_v_peak_time_seconds,17_target_hit_power_peak_time_offset_seconds,18_w_hit_final,19_work_capacity_scale,20_hit_work_capacity_final,21_displacement_side_work_final,22_manifested_work_ratio,23_unmanifested_work_margin,24_measured_abs_work_final,25_measured_signed_work_final,26_max_downstream_response_envelope,27_downstream_response_peak_time_seconds,28_hidden_work_proxy_mean,29_input_mode,30_boundary_floor
QSM-QTE-FATE,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,1,1F,0.7330233538978337,0.9074018134417561,0.08792754566991495,0.9074018134417561,0.7330233538978337,6.8359374824557895,6.831054657737499,0.0048828247182903795,2.2670854517079193,1.8328530930360194,4.155234582339821,0.6879979756553128,0.16557379902911143,0.8344262009708886,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099,floor_state_assimilated,1F
QSM-QTE-FATE,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,2,2F,0.7851004896226578,0.9739844558805144,0.07036007218824804,0.9739844558805144,0.7851004896226578,6.8359374824557895,6.8359374824557895,0.0,2.187668222800233,1.8328530930360194,4.009674468696018,2.162454821395504,0.5393093225590989,0.4606906774409011,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9352415536363727,floor_state_assimilated,1F
QSM-QTE-FATE,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,3,3F,0.7399057023041022,0.9735303726716192,0.12924659237575917,0.9735303726716192,0.7399057023041022,6.923828126879736,6.918945302161448,0.004882824718288603,2.1517652755111167,1.8328530930360194,3.9438696407080527,3.75606632448386,0.952380952380711,0.047619047619289034,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9348210990026554,floor_state_assimilated,1F
QSM-QTE-FATE,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,1,1F,0.7557306665032582,0.9073650603396164,0.08642411609836922,0.9073650603396164,0.7557306665032582,6.8359374824557895,6.831054657737499,0.0048828247182903795,2.2575750924624747,1.8468639963744766,4.169434157380724,0.6879979756553128,0.1650099149394781,0.8349900850605219,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099,floor_state_assimilated,1F
QSM-QTE-FATE,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,2,2F,0.8311719751469232,0.9739373352531312,0.06273053317516075,0.9739373352531312,0.8311719751469232,6.8359374824557895,6.8359374824557895,0.0,2.2135025643970363,1.8468639963744766,4.088038192067462,2.162454821395504,0.5289712864207237,0.47102871357927634,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9352415536363727,floor_state_assimilated,1F
QSM-QTE-FATE,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,3,3F,0.7607341456419506,0.9734771236178867,0.12628496978203485,0.9734771236178867,0.7607341456419506,6.923828126879736,6.918945302161448,0.004882824718288603,2.1354412931597264,1.8468639963744766,3.9438696407080527,3.75606632448386,0.952380952380711,0.047619047619289034,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9348210990026554,floor_state_assimilated,1F
QSM-QTE-FATE,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,1,1F,0.153732527775898,0.7817307769695763,0.03825323126210099,0.7817307769695763,0.153732527775898,6.655273408990657,6.831054657737499,-0.17578124874684242,0.2683010338543313,22.207012424520688,5.958164392314881,0.6879979756553128,0.115471465765968,0.884528534234032,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099,boundary_input_only,1F
QSM-QTE-FATE,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,2,2F,0.039639389905954434,0.7881835294365641,0.10815429469589526,0.7881835294365641,0.039639389905954434,9.794921843044472,6.8359374824557895,2.9589843605886825,0.24210108377058207,22.207012424520688,5.376341775283239,2.162454821395504,0.40221676965117753,0.5977832303488224,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9351869376195029,boundary_input_only,1F
QSM-QTE-FATE,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,3,3F,-0.05433623110934931,0.5271086054820716,0.1869925818424212,0.5271086054820716,-0.05433623110934931,10.795898424028552,6.918945302161448,3.8769531218671043,0.17759568758349883,22.207012424520688,3.943869640708053,3.75606632448386,0.9523809523807109,0.047619047619289145,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9342825598075267,boundary_input_only,1F
QSM-QTE-FATE,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,1,1F,0.7330234786565367,0.9074018919056394,0.08792757865051369,0.9074018919056394,0.7330234786565367,6.8359374824557895,6.831054657737499,0.0048828247182903795,2.2670862716362183,1.8328527743840641,4.155235362736467,0.6879979756553128,0.16557376793262082,0.8344262320673792,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099,floor_state_assimilated,1F
QSM-QTE-FATE,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,2,2F,0.7851003773729904,0.9739843974558393,0.07036007627881682,0.9739843974558393,0.7851003773729904,6.8359374824557895,6.8359374824557895,0.0,2.1876670287752487,1.8328527743840641,4.009671583119257,2.162454821395504,0.5393097106752865,0.46069028932471345,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9352415536363727,floor_state_assimilated,1F
QSM-QTE-FATE,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,3,3F,0.7399057256908796,0.9735303561087639,0.12924658719764734,0.9735303561087639,0.7399057256908796,6.923828126879736,6.918945302161448,0.004882824718288603,2.1517656496078374,1.8328527743840641,3.9438696407080527,3.75606632448386,0.952380952380711,0.047619047619289034,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9348210990026554,floor_state_assimilated,1F
QSM-QTE-FATE,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,1,1F,0.7330616006361811,0.9074264305864074,0.08793775530834529,0.9074264305864074,0.7330616006361811,6.8359374824557895,6.831054657737499,0.0048828247182903795,2.2673713475610664,1.8327148216149796,4.155445074780296,0.6879979756553128,0.16556541195326055,0.8344345880467394,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099,floor_state_assimilated,1F
QSM-QTE-FATE,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,2,2F,0.7850659929617431,0.973965778332539,0.07036135236409584,0.973965778332539,0.7850659929617431,6.8359374824557895,6.8359374824557895,0.0,2.187219984372635,1.8327148216149796,4.008550483492212,2.162454821395504,0.5394605432313413,0.4605394567686587,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9352415536363727,floor_state_assimilated,1F
QSM-QTE-FATE,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,3,3F,0.7399128280215628,0.9735250807036934,0.12924499158681155,0.9735250807036934,0.7399128280215628,6.923828126879736,6.918945302161448,0.004882824718288603,2.1519276180855753,1.8327148216149796,3.943869640708053,3.75606632448386,0.9523809523807109,0.047619047619289145,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9348210990026554,floor_state_assimilated,1F
